loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies,month_since_last_delinquent
ca4d2a1f-9c28-458b-af15-2bd7bddccf46,b5a7bdd6-0d4c-4ad5-af9d-281393262aeb,loan refused,2015-05-19 11:48:00,11266.0,long term,0.0,debt consolidation,1.0,rent,35207.0,1 year,,0.0,3.0,717.0,166.05,7.0,8.0,0.0,7998.0,18219,0.0,
2fc3d6e3-820a-4ceb-9b74-3ef06ad85345,1b14183a-3ccf-4e06-9f8f-027e61c2074b,loan given,2015-08-03 14:56:00,8821.0,short term,0.0,debt consolidation,1.0,rent,34304.0,10+ years,,0.0,2.0,738.0,371.62,13.0,4.0,0.0,7274.0,8333,0.0,
b143b00d-4692-492f-bc4a-d6ead90ff00d,5c9ed21a-3ecd-4d53-a02e-9fe38f1de6b2,loan refused,2015-06-10 11:14:00,21185.0,long term,0.0,buy house,3.0,home mortgage,59052.0,1 year,79.0,3.0,2.0,6390.0,624.97,15.0,12.0,0.0,5864.0,20361,0.0,
59e22729-5b21-4200-9aa5-77c430403692,6a354b2d-1435-44da-a2d3-e746066f0040,loan given,2015-09-14 13:11:00,13027.0,short term,0.0,debt consolidation,2.0,,,,,,,,,,,,,,,
b6c9e6f4-8ff9-48ee-a3a1-337b90d59bd3,02985c59-e7a5-47f7-ba50-32fb0527bab0,loan given,2015-02-24 12:49:00,16895.0,long term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,,
65a5f45b-233e-45ee-b76d-f5917575efff,0fe285de-db50-42fd-aed1-95125c355cde,loan given,2015-11-30 11:02:00,19474.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
61a802dd-0319-45c1-a051-d02eb011fa86,ed2273db-2590-4f49-a33e-6650581c9eb0,loan refused,2015-12-24 14:10:00,15350.0,short term,0.0,debt consolidation,2.0,rent,,2 years,11.0,3.0,0.0,,1138.42,17.0,12.0,0.0,20921.0,28660,0.0,
2a520de0-8661-4bf8-b152-65dcd9c55bc4,0ff9ca2a-1830-4efd-baff-28af3f40aa83,loan refused,2015-05-30 10:36:00,23385.0,long term,0.0,buy house,0.0,rent,47064.0,4 years,,3.0,3.0,6850.0,776.56,11.0,10.0,0.0,10442.0,17260,0.0,
d5839d05-ada7-4c86-bfab-312cbccda554,c6c38362-e8a7-41c9-b8df-66292b4309e0,loan given,2015-10-31 14:32:00,3933.0,short term,0.0,debt consolidation,2.0,home mortgage,34416.0,10+ years,4.0,3.0,2.0,729.0,739.93,26.0,5.0,0.0,5352.0,11013,0.0,
8c624f86-027b-4896-954a-726d664461ec,46f1659a-6dc7-48bd-b0ad-dd471b9a19ad,loan given,2015-08-04 13:47:00,99999999.0,short term,0.0,debt consolidation,2.0,home mortgage,74055.0,7 years,,3.0,0.0,733.0,734.38,8.0,9.0,0.0,13909.0,19644,0.0,
72374f59-ab97-42dd-b6ce-365ac9fb2240,cf66a6c8-519e-4937-8153-03b36203c2ef,loan refused,2015-09-13 14:15:00,9148.0,short term,0.0,debt consolidation,2.0,rent,101640.0,3 years,,1.0,2.0,7370.0,1981.98,11.0,10.0,0.0,32562.0,41376,0.0,
b34865ca-043e-425b-9993-5bd904b277f7,9633af80-5711-44f3-9a46-6dc3ac055479,loan given,2015-06-25 11:00:00,4382.0,short term,0.0,debt consolidation,1.0,rent,23168.0,< 1 year,,1.0,3.0,738.0,133.02,6.0,17.0,0.0,4337.0,8262,0.0,
343a4ab7-9992-4b84-905d-849a8667799e,f361c9f8-23d4-4d23-91a0-d5818234a788,loan given,2015-03-14 11:14:00,10064.0,short term,0.0,major_purchase,0.0,,,,,,,,,,,,,,,
0421b7a9-1406-4666-b4bb-521df5f90c05,d9f8078d-07b4-46ea-af0f-1b31dc941b78,loan given,2015-09-13 11:29:00,12969.0,short term,0.0,debt consolidation,0.0,home mortgage,49125.0,6 years,,5.0,2.0,741.0,238.67,10.0,11.0,0.0,7267.0,22020,0.0,
3d3f467a-dedf-4089-8c36-c971cebc3dc0,bbbf74e3-e772-4f29-b0c5-c9c3f263c63f,loan given,2015-10-27 11:46:00,13517.0,short term,0.0,debt consolidation,3.0,rent,71680.0,6 years,48.0,0.0,3.0,730.0,489.22,21.0,10.0,0.0,12888.0,24880,0.0,
5d7992df-9b60-4606-9449-df8300494faf,369c99a9-30cf-4111-b613-3fe899fc851b,loan given,2015-10-23 11:42:00,16924.0,long term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,,
fe6025d5-2a5f-441b-ab9a-b6567a89952a,5cb94d19-bfc6-4b85-ba6a-6c199606a0ab,loan refused,2015-09-19 10:08:00,28462.0,short term,0.0,debt consolidation,0.0,home mortgage,203300.0,< 1 year,20.0,3.0,1.0,7460.0,3151.15,11.0,13.0,0.0,4264.0,12080,0.0,
d39ba33c-133f-4b84-b4b5-f1083626b49c,b8927659-ba46-430f-97d4-97d827009f1d,loan refused,2015-07-20 12:39:00,6119.0,short term,0.0,debt consolidation,4.0,rent,,,15.0,2.0,2.0,,214.2,16.0,9.0,0.0,3225.0,5016,0.0,
6be612c1-261d-4106-83b2-88d5a6bd0c39,fb402e8c-50e2-4b7f-9faa-895ff382d550,loan given,2015-08-20 12:44:00,99999999.0,short term,0.0,home improvements,2.0,home mortgage,115034.0,1 year,,2.0,3.0,749.0,1725.52,23.0,19.0,0.0,7122.0,78267,0.0,
1c341803-3635-45ea-8b80-3f73fa4a5eb4,931ca71e-c672-4848-a141-19a3eff673a5,loan given,2015-02-23 13:36:00,12216.0,long term,0.0,debt consolidation,3.0,own home,,,,2.0,0.0,,1207.51,24.0,9.0,0.0,12725.0,73553,0.0,
79aab9c6-6c1f-437c-ad22-fe2e3f2c8c62,50c76abd-1f05-40e8-a82c-c08776f9e54b,loan given,2015-02-11 10:50:00,14702.0,short term,0.0,other,4.0,rent,56155.0,1 year,17.0,4.0,2.0,742.0,519.43,19.0,14.0,0.0,5473.0,38812,0.0,
ae4b511d-9cf6-4c15-9d62-a345da7e05f9,b604ba50-4965-4c58-8141-72744524eb14,loan given,2015-03-24 13:07:00,22842.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
ed41acc1-16e4-4b1b-9938-0c53cbb9987c,192225ad-9ad3-4673-aa52-02bfc9ea2991,loan given,2015-09-04 10:27:00,27930.0,long term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,,
24a81792-2f49-43a3-a93a-e08d8f26081f,7a5b34a8-ec85-4062-929e-fc73be033d8f,loan given,2015-01-22 13:15:00,4334.0,short term,0.0,buy a car,0.0,rent,44231.0,8 years,,4.0,0.0,741.0,475.49,9.0,7.0,2.0,7566.0,14691,2.0,
db394646-3ed9-40cf-8bb5-94f10ffb7d7f,9b47cfd4-da63-4ec5-b503-b8736bc0894b,loan given,2015-08-26 12:41:00,34269.0,long term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,,
20f94ae1-ba22-405b-83be-af04ba8b81eb,6a71d9c7-a937-467a-b614-8fd40c933303,loan refused,2015-05-06 11:36:00,16301.0,long term,0.0,debt consolidation,4.0,home mortgage,55015.0,7 years,54.0,5.0,1.0,686.0,1068.21,19.0,19.0,0.0,26545.0,66197,0.0,
7792837f-1f20-4afa-9a6e-d79cb22103c8,232027ad-e220-4201-a0d9-5e7a3ff730e9,loan given,2015-12-13 10:13:00,10212.0,short term,0.0,debt consolidation,4.0,home mortgage,,10+ years,7.0,4.0,3.0,,1765.65,19.0,13.0,1.0,13062.0,21034,1.0,
2a107ad5-1130-4ecd-b6a5-9fc54f21d3a1,7fc3975c-487d-4ed0-99f2-672a55a528c6,loan given,2015-04-11 11:13:00,99999999.0,short term,0.0,debt consolidation,0.0,rent,71631.0,1 year,,3.0,2.0,750.0,479.93,16.0,17.0,0.0,14090.0,75347,0.0,
f2feba07-794c-40f2-b64e-2e8b799119ea,1e7fdc7b-4620-4118-a192-46bbe0e4e63d,loan given,2015-01-23 13:51:00,12192.0,short term,0.0,debt consolidation,3.0,rent,52832.0,5 years,31.0,2.0,2.0,743.0,942.17,15.0,16.0,0.0,11613.0,20590,0.0,
cfa8a8b5-dbb5-446e-90a3-696ba1aebc2b,40cbeaf7-7b64-4758-aca5-f6da29b6ba75,loan given,2015-10-07 12:55:00,6406.0,short term,0.0,other,2.0,,,,,,,,,,,,,,,
6b5240fb-29fa-4bf3-849b-2403a4e6baea,01c98832-adc1-4eeb-ae95-f7d072fb6a5d,loan given,2015-07-10 13:54:00,2946.0,short term,0.0,business loan,0.0,own home,29457.0,5 years,47.0,5.0,1.0,736.0,88.37,14.0,17.0,0.0,1267.0,4524,0.0,
7dddb4cf-201c-4172-ae60-cebe5c8230fb,45b4140d-ee01-4f4b-b06c-3a5de87a25a1,loan given,2015-11-08 11:35:00,11998.0,long term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,,
d2ffcb09-2bf7-465c-9147-1c8127a22017,0c9f8258-3906-4301-a1da-e539d268e889,loan given,2015-05-16 10:32:00,4715.0,short term,0.0,other,0.0,,,,,,,,,,,,,,,
a3d45b87-cd76-4b91-9a5a-2812d3b22656,c4c5f404-1f92-4a83-974a-329e65c02f67,loan given,2015-08-20 12:17:00,99999999.0,long term,0.0,moving,3.0,,,,,,,,,,,,,,,
dabc8b1a-a393-474a-9469-7f417980384f,42738e3d-244a-4d3c-ac2f-51386acb96ab,loan given,2015-09-28 11:59:00,14876.0,short term,0.0,debt consolidation,4.0,rent,39668.0,3 years,,2.0,1.0,736.0,621.47,11.0,7.0,0.0,14423.0,25393,0.0,
b7d5fbf4-1232-4cba-a75e-199ae2c30a50,6413bc13-aac6-42dc-8b12-396a4b854214,loan given,2015-03-22 13:47:00,5092.0,short term,0.0,debt consolidation,1.0,rent,,3 years,,2.0,2.0,,779.08,13.0,6.0,0.0,4804.0,9364,0.0,
49ca6d75-1bce-4e03-9a24-f353f2d68193,d99b5c0d-a7d4-47fa-bb4d-a206f53bcde8,loan given,2015-09-10 12:19:00,6910.0,short term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,,
5494fb39-6a47-45cb-97e0-918bab3c3bcb,363ebd0a-c932-43f0-83cd-78e2af121633,loan given,2015-04-20 10:31:00,19980.0,short term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,,
0890eaa5-f877-4750-9f9c-8761c01c3539,af428ea9-be22-4739-8563-14f096c9149d,loan given,2015-05-25 11:50:00,4953.0,short term,0.0,other,3.0,,,,,,,,,,,,,,,
d0b11114-0e86-47c7-87a9-8cce849c1e12,d5f06e87-c53a-439e-9953-b3b198c5fb73,loan refused,2015-08-26 14:04:00,2963.0,short term,0.0,other,2.0,home mortgage,43463.0,7 years,,4.0,1.0,7240.0,615.73,21.0,10.0,0.0,15537.0,35152,0.0,
6e364a2e-7ccf-4377-a24f-ff986e530030,8979f6d8-dc08-4f54-9b1f-6d83540a6901,loan given,2015-11-02 14:09:00,5053.0,short term,0.0,debt consolidation,3.0,rent,36786.0,3 years,,5.0,1.0,746.0,490.17,15.0,6.0,0.0,6752.0,10943,0.0,
bd40d7b4-eaa3-4555-8ed5-158ac5fc5429,6ddaea84-0bbe-4e84-94f1-f5335085cb63,loan given,2015-08-06 12:48:00,4940.0,short term,0.0,other,4.0,,,,,,,,,,,,,,,
b2a76a5d-1945-4b22-9328-cc04a2630943,a13f54e4-cd7a-41c3-9acc-8114513d22c9,loan given,2015-11-25 12:00:00,11850.0,short term,0.0,other,0.0,,,,,,,,,,,,,,,
b7f2896e-7fe5-441d-bc24-fb60def0b57b,82ff57fb-b258-4361-a1ee-c5631c829f48,loan given,2015-07-03 13:48:00,23164.0,short term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,,
54410e0e-21ac-4c9e-b9a0-fa54e8e3a405,efdabaf9-9a05-458a-9b0f-a5bccd771bd3,loan refused,2015-08-19 14:07:00,9291.0,short term,0.0,debt consolidation,4.0,rent,33145.0,2 years,,5.0,2.0,730.0,638.05,12.0,10.0,1.0,8987.0,15576,1.0,
f922eec0-41f7-4361-8026-ba3c7806f2f3,10d45df7-24ce-4a97-ba26-7353b7aa75bf,loan given,2015-09-12 14:58:00,35462.0,short term,0.0,debt consolidation,3.0,home mortgage,111452.0,10+ years,71.0,2.0,1.0,734.0,1523.17,24.0,10.0,0.0,42449.0,52085,0.0,
472ed3f0-298b-4b7d-8dcf-f84e80e02cb6,9bf9e390-5d7e-4b5c-9ff6-886be17784c4,loan given,2015-06-26 10:13:00,4556.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
0952f3e3-91f1-4284-b695-cfa8f92c8d4b,270ab813-637e-46a2-b3ac-1ff21ab326b3,loan given,2015-03-08 10:36:00,9925.0,short term,0.0,debt consolidation,1.0,home mortgage,,7 years,,1.0,3.0,,814.67,10.0,13.0,0.0,7855.0,14491,0.0,
0b05708b-5e88-4d5b-a134-eb70f674656e,4c5b171c-40d9-4cb9-beab-27bbc3bce9d3,loan given,2015-12-06 14:00:00,20236.0,long term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,,
a7d5d5e8-93ff-4fcd-aec9-d9050dfa33f9,d7c28d46-beec-4e21-809a-a4a49c07c3b5,loan given,2015-09-04 12:41:00,99999999.0,short term,0.0,debt consolidation,4.0,home mortgage,39828.0,,,3.0,1.0,734.0,547.64,18.0,7.0,1.0,6030.0,12830,1.0,
14b1acd8-71d0-4712-ac21-ad482bdcc484,e7ce939f-99de-42bb-bf20-6106d4a39dff,loan refused,2015-02-03 12:36:00,20727.0,long term,0.0,debt consolidation,0.0,rent,103635.0,5 years,17.0,0.0,0.0,743.0,1433.62,18.0,21.0,0.0,29670.0,66675,0.0,
1b3cce69-d5a6-409b-93dd-a489664f2d36,c92c259d-0fc9-44aa-8e3b-d73f95320578,loan given,2015-03-17 14:17:00,3527.0,short term,0.0,debt consolidation,2.0,,,,,,,,,,,,,,,
51e75cc3-f195-4cb3-a0d5-a543b9f68089,c052262a-b4ac-47dc-8b3d-9a1e08d1660a,loan given,2015-03-10 14:40:00,19890.0,short term,0.0,debt consolidation,2.0,home mortgage,69615.0,10+ years,59.0,3.0,0.0,742.0,1450.31,22.0,15.0,0.0,20334.0,26650,0.0,
168c3750-5c77-4ee5-b62a-128ca3321a52,2af8676a-b871-4d42-bcc3-57610cc2a04a,loan given,2015-03-28 12:31:00,6516.0,short term,0.0,debt consolidation,3.0,,,,,,,,,,,,,,,
e9fb8b37-57e6-436b-ae51-9642a62d969a,f5e6a7e1-d91f-4ae1-ae11-4948e25db7a8,loan given,2015-12-12 13:05:00,18725.0,short term,0.0,business loan,0.0,,,,,,,,,,,,,,,
0ee71c4c-10ca-4849-b437-314317022f62,05979eaa-82f7-4909-8cbb-548bd44d1b02,loan refused,2015-10-02 12:04:00,9339.0,long term,0.0,business loan,4.0,rent,88479.0,6 years,,4.0,0.0,6940.0,783.04,11.0,8.0,0.0,13676.0,23993,0.0,
31d5c0ed-8735-4cc3-917c-875e0771c39a,383cbb64-17cb-4fe4-b203-5a1b6343880b,loan given,2015-06-11 14:27:00,1978.0,short term,0.0,debt consolidation,0.0,rent,54401.0,5 years,,3.0,1.0,747.0,652.81,17.0,9.0,0.0,7715.0,19097,0.0,
27469ea9-8b76-40b3-a2a4-1a0422ea2950,863c899e-d75d-4f9f-8b86-ac4817e058eb,loan given,2015-02-20 12:17:00,99999999.0,short term,0.0,debt consolidation,0.0,,,,,,,,,,,,,,,
410eb4ff-1633-4504-8805-1fcb2d23e683,99cc5084-1df6-4cd7-b99a-ca28b8f8f2fb,loan given,2015-11-07 11:31:00,11772.0,short term,0.0,debt consolidation,4.0,home mortgage,,8 years,67.0,3.0,0.0,,329.72,10.0,4.0,0.0,3874.0,11100,0.0,
8e62b3fa-1ad6-4c14-ade1-9bfa52f5ba4b,19b63db0-a2e6-46ca-95f3-ce9f9d859a50,loan given,2015-12-29 13:52:00,99999999.0,short term,0.0,business loan,0.0,home mortgage,153570.0,10+ years,,4.0,1.0,747.0,490.14,13.0,5.0,0.0,0.0,0,0.0,
2d65eea4-1706-4d2f-b5ed-4a775e09d9d4,1e6624ad-15f4-4015-a6dc-bbe5acb904d0,loan given,2015-08-06 11:14:00,10886.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
7f35b495-7cc1-40d7-b739-5266db31c658,7393cb63-a4db-42cb-931f-d909baef6381,loan given,2015-06-20 13:26:00,3537.0,short term,0.0,debt consolidation,2.0,home mortgage,27893.0,2 years,80.0,3.0,0.0,748.0,133.42,18.0,4.0,1.0,757.0,15139,0.0,
11e1081d-851c-42be-a983-c718a6e42085,9df7c781-2bf7-4278-8305-fb20f83bebe8,loan given,2015-01-30 10:53:00,2243.0,short term,0.0,other,4.0,rent,97510.0,5 years,36.0,2.0,1.0,742.0,950.72,13.0,13.0,0.0,1128.0,14845,0.0,
bd6c6805-9e86-4ec3-b761-da65400b7e09,c5ab8ebe-1513-476d-a871-22e611b90927,loan refused,2015-03-09 14:56:00,12136.0,short term,0.0,debt consolidation,1.0,own home,,2 years,,4.0,2.0,,1157.51,23.0,12.0,0.0,11280.0,12235,0.0,
64b81ff3-1fc4-461b-ab0c-309ef885b7ab,8d43ea59-158e-4c55-8743-f3952482d397,loan given,2015-06-27 11:09:00,99999999.0,short term,0.0,debt consolidation,2.0,rent,24024.0,4 years,,5.0,3.0,745.0,512.51,15.0,7.0,0.0,7864.0,22276,0.0,
b708e064-9454-4d16-9754-eafee19e07da,bdd59008-388c-4677-8ac2-e8095d29999f,loan given,2015-05-24 12:48:00,7942.0,short term,0.0,other,4.0,home mortgage,,4 years,48.0,5.0,2.0,,1093.74,25.0,12.0,0.0,11687.0,13749,0.0,
b23b03d1-1977-4ae5-986c-01b22c294e6e,4ba4cb23-7abb-4caf-8673-5a26c3a9093a,loan given,2015-09-23 12:13:00,10142.0,short term,0.0,debt consolidation,1.0,home mortgage,35497.0,8 years,27.0,2.0,1.0,731.0,982.08,21.0,13.0,0.0,8674.0,15218,0.0,
6df31948-fb64-46d2-bc04-87033e076db5,f6b39c76-0597-4b15-883c-ee0ccc49c5f1,loan given,2015-07-26 13:57:00,20418.0,short term,0.0,debt consolidation,4.0,home mortgage,72155.0,10+ years,,1.0,0.0,738.0,811.75,20.0,12.0,0.0,16244.0,17354,0.0,
4a7d9e91-7323-4ee8-ba2b-30cb54dbfb14,fdbb2203-07af-471b-bba5-e61377bf0330,loan given,2015-08-12 14:05:00,6226.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
f4e42c14-118f-4d70-bf71-e163f9d2cc38,ad3a10e1-b9d0-4153-9c0c-f40a3f1302b4,loan given,2015-02-07 11:23:00,4971.0,short term,0.0,medical bills,1.0,,,,,,,,,,,,,,,
0ed34d11-0684-4a69-a1d9-2d9bcb9cb860,202e01bd-c276-4583-96be-a78f407659f8,loan refused,2015-01-11 11:15:00,8006.0,short term,0.0,business loan,4.0,rent,50040.0,6 years,,2.0,3.0,707.0,671.37,11.0,12.0,0.0,24705.0,45164,0.0,
74e809c7-10e3-49ac-a887-9ddc9805f41a,1584ecb0-4252-4c5b-97a9-a7d20d477ace,loan given,2015-11-30 14:53:00,5944.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
e114b620-a2bc-4f82-9849-b5d2635353ef,3a16ee47-7a83-41f2-9725-91ef5172b5aa,loan given,2015-04-27 13:28:00,15792.0,short term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,,
d3eeceda-828a-47f6-abb3-61de0944c21c,39b6a2ec-9af7-4edb-9273-c8e1695211ec,loan given,2015-06-29 11:26:00,6884.0,short term,0.0,other,2.0,rent,,2 years,13.0,2.0,2.0,,979.71,19.0,12.0,0.0,7771.0,15148,0.0,
f10cc1c6-d0ba-4dc7-8ed5-e852927cc532,723f1655-1ff2-4e68-aebb-dd0c55861426,loan given,2015-02-08 12:20:00,23479.0,long term,0.0,debt consolidation,3.0,home mortgage,225009.0,3 years,,0.0,2.0,731.0,2400.09,19.0,12.0,0.0,256989.0,571086,0.0,
c5a79e6c-f57f-4d50-a3df-b569a0a71291,ace89c3c-3b85-42ea-86c8-042dde78b084,loan given,2015-02-09 13:41:00,9877.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
fae757ed-1c59-4c93-994f-bff61e77e30e,43bc8304-c373-4685-8af9-380b6c7f0b76,loan given,2015-03-02 13:37:00,15933.0,short term,0.0,debt consolidation,4.0,home mortgage,79067.0,3 years,,0.0,0.0,738.0,655.59,14.0,20.0,0.0,23528.0,74691,0.0,
522343e8-26e3-4684-837d-c5250aab834c,561cc6c3-0a49-45f1-8770-a599a4a52118,loan given,2015-08-14 10:19:00,6086.0,short term,0.0,debt consolidation,4.0,rent,,9 years,6.0,2.0,2.0,,1120.38,16.0,12.0,0.0,6431.0,16616,0.0,
a108b624-a208-4e0f-8eec-46aab1aaac73,dbfe4a90-a7f7-4bd4-afc8-17c6207f5926,loan given,2015-12-15 13:21:00,7921.0,short term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,,
244dfb13-3b63-4bf1-b974-b6464a705d19,4e2359bc-d83a-4602-b121-0af02a66872f,loan given,2015-07-01 14:17:00,99999999.0,short term,0.0,other,3.0,own home,24370.0,< 1 year,,1.0,1.0,748.0,300.56,42.0,7.0,0.0,272.0,38876,0.0,
